op,semi,k,side,rep,time_ms,plan_ms,rows
>=,formula,0,having,1,563.327,1.522,2529
>=,formula,0,having,2,569.74,2.284,2529
>=,formula,0,having,3,599.931,3.258,2529
>=,formula,0,join,1,167.885,0.811,2529
>=,formula,0,join,2,164.795,0.654,2529
>=,formula,0,join,3,169.145,0.652,2529
>=,formula,1,having,1,542.331,2.676,2529
>=,formula,1,having,2,565.595,2.786,2529
>=,formula,1,having,3,582.555,1.617,2529
>=,formula,1,join,1,184.914,0.965,2529
>=,formula,1,join,2,169.508,2.252,2529
>=,formula,1,join,3,172.373,2.053,2529
>=,formula,2,having,1,340.07,2.596,191
>=,formula,2,having,2,342.97,3.341,191
>=,formula,2,having,3,361.601,5.302,191
>=,formula,2,join,1,59.886,0.973,191
>=,formula,2,join,2,71.491,3.014,191
>=,formula,2,join,3,66.344,3.522,191
>=,formula,3,having,1,336.418,2.873,46
>=,formula,3,having,2,345.266,2.251,46
>=,formula,3,having,3,336.651,3.422,46
>=,formula,3,join,1,105.538,1.232,46
>=,formula,3,join,2,116.315,1.66,46
>=,formula,3,join,3,106.749,1.199,46
>=,formula,4,having,1,314.755,1.662,21
>=,formula,4,having,2,311.038,1.523,21
>=,formula,4,having,3,315.495,2.273,21
>=,formula,4,join,1,300.879,2.002,21
>=,formula,4,join,2,303.427,3.338,21
>=,formula,4,join,3,303.746,1.465,21
>=,formula,5,having,1,298.483,1.503,14
>=,formula,5,having,2,301.734,2.85,14
>=,formula,5,having,3,308.363,4.693,14
>=,formula,5,join,1,478.726,4.858,14
>=,formula,5,join,2,498.38,4.202,14
>=,formula,5,join,3,491.257,2.004,14
>=,formula,6,having,1,286.881,2.415,12
>=,formula,6,having,2,304.549,2.662,12
>=,formula,6,having,3,291.505,2.633,12
>=,formula,6,join,1,939.269,9.48,12
>=,formula,6,join,2,933.565,8.453,12
>=,formula,6,join,3,935.065,5.37,12
>=,formula,7,having,1,259.283,1.517,10
>=,formula,7,having,2,261.401,2.231,10
>=,formula,7,having,3,265.893,2.398,10
>=,formula,7,join,1,1385.483,11.097,10
>=,formula,7,join,2,1386.645,9.344,10
>=,formula,7,join,3,1387.187,8.898,10
>=,formula,8,having,1,241.712,3.396,8
>=,formula,8,having,2,236.253,1.914,8
>=,formula,8,having,3,240.682,1.819,8
>=,formula,8,join,1,1822.149,18.123,8
>=,formula,8,join,2,1797.215,16.705,8
>=,formula,8,join,3,1817.536,22.055,8
>=,formula,9,having,1,226.996,2.948,5
>=,formula,9,having,2,218.028,2.604,5
>=,formula,9,having,3,224.774,1.803,5
>=,formula,9,join,1,2288.957,36.7,5
>=,formula,9,join,2,2284.037,43.638,5
>=,formula,9,join,3,2288.75,38.13,5
>=,formula,10,having,1,246.825,3.521,5
>=,formula,10,having,2,242.533,5.436,5
>=,formula,10,having,3,232.946,4.063,5
>=,formula,10,join,1,2657.901,95.809,5
>=,formula,10,join,2,2660.529,100.388,5
>=,formula,10,join,3,2669.025,100.617,5
>=,formula,11,having,1,222.498,2.593,5
>=,formula,11,having,2,208.104,2.598,5
>=,formula,11,having,3,222.575,2.253,5
>=,formula,11,join,1,2917.562,270.774,5
>=,formula,11,join,2,2911.252,256.925,5
>=,formula,11,join,3,2899.515,269.763,5
>=,formula,12,having,1,212.439,2.47,3
>=,formula,12,having,2,220.422,2.755,3
>=,formula,12,having,3,209.126,1.544,3
>=,formula,12,join,1,2892.577,739.853,3
>=,formula,12,join,2,2891.172,737.367,3
>=,formula,12,join,3,2890.862,739.71,3
>=,formula,13,having,1,235.174,2.652,2
>=,formula,13,having,2,249.148,1.632,2
>=,formula,13,having,3,208.025,1.774,2
>=,formula,13,join,1,2861.181,2120.459,2
>=,formula,13,join,2,2861.25,2165.109,2
>=,formula,13,join,3,2852.424,2137.61,2
>=,formula,14,having,1,206.977,2.363,0
>=,formula,14,having,2,217.715,2.622,0
>=,formula,14,having,3,207.687,2.693,0
>=,formula,14,join,1,2855.921,6344.644,0
>=,formula,14,join,2,2850.27,6349.417,0
>=,formula,14,join,3,2857.534,6343.776,0
>=,formula,15,having,1,212.711,2.077,0
>=,formula,15,having,2,204.131,1.525,0
>=,formula,15,having,3,212.644,4.095,0
>=,formula,15,join,1,2879.006,19536.855,0
>=,formula,15,join,2,2865.482,19956.977,0
>=,formula,15,join,3,2866.383,19638.366,0
<=,formula,0,having,1,237.405,1.747,0
<=,formula,0,having,2,223.158,2.066,0
<=,formula,0,having,3,215.418,2.369,0
<=,formula,0,join,1,354.882,3.754,0
<=,formula,0,join,2,362.029,2.375,0
<=,formula,0,join,3,355.625,2.587,0
<=,formula,1,having,1,446.161,3.17,2529
<=,formula,1,having,2,433.091,3.895,2529
<=,formula,1,having,3,425.784,2.863,2529
<=,formula,1,join,1,228.055,1.505,2529
<=,formula,1,join,2,246.206,2.455,2529
<=,formula,1,join,3,250.27,4.791,2529
<=,formula,2,having,1,445.861,1.524,2529
<=,formula,2,having,2,429.58,2.401,2529
<=,formula,2,having,3,441.739,3.521,2529
<=,formula,2,join,1,275.278,3.223,2529
<=,formula,2,join,2,277.387,3.751,2529
<=,formula,2,join,3,288.277,2.174,2529
<=,formula,3,having,1,491.939,5.855,2529
<=,formula,3,having,2,443.858,2.806,2529
<=,formula,3,having,3,447.067,5.204,2529
<=,formula,3,join,1,504.702,2.284,2529
<=,formula,3,join,2,502.915,6.093,2529
<=,formula,3,join,3,511.103,2.481,2529
<=,formula,4,having,1,466.104,1.525,2529
<=,formula,4,having,2,516.804,3.184,2529
<=,formula,4,having,3,504.665,1.508,2529
<=,formula,4,join,1,700.67,4.922,2529
<=,formula,4,join,2,722.353,4.008,2529
<=,formula,4,join,3,699.415,3.97,2529
<=,formula,5,having,1,486.319,2.408,2529
<=,formula,5,having,2,505.336,2.688,2529
<=,formula,5,having,3,464.598,4.817,2529
<=,formula,5,join,1,1297.031,5.965,2529
<=,formula,5,join,2,1301.171,7.133,2529
<=,formula,5,join,3,1294.138,10.425,2529
<=,formula,6,having,1,513.695,2.418,2529
<=,formula,6,having,2,486.54,1.562,2529
<=,formula,6,having,3,489.927,1.513,2529
<=,formula,6,join,1,1741.491,14.015,2529
<=,formula,6,join,2,1733.215,10.455,2529
<=,formula,6,join,3,1718.332,9.699,2529
<=,formula,7,having,1,517.649,1.605,2529
<=,formula,7,having,2,535.42,1.548,2529
<=,formula,7,having,3,508.885,1.765,2529
<=,formula,7,join,1,2312.192,18.423,2529
<=,formula,7,join,2,2310.891,15.574,2529
<=,formula,7,join,3,2304.713,18.905,2529
<=,formula,8,having,1,519.662,1.958,2529
<=,formula,8,having,2,529.206,2.23,2529
<=,formula,8,having,3,519.802,2.172,2529
<=,formula,8,join,1,2785.826,49.385,2529
<=,formula,8,join,2,2776.052,37.112,2529
<=,formula,8,join,3,2760.746,45.588,2529
<=,formula,9,having,1,542.768,5.785,2529
<=,formula,9,having,2,529.346,1.755,2529
<=,formula,9,having,3,565.546,1.649,2529
<=,formula,9,join,1,2933.233,105.235,2529
<=,formula,9,join,2,2945.687,102.866,2529
<=,formula,9,join,3,2923.581,94.719,2529
<=,formula,10,having,1,538.603,1.971,2529
<=,formula,10,having,2,530.328,2.633,2529
<=,formula,10,having,3,539.799,1.797,2529
<=,formula,10,join,1,3071.981,260.811,2529
<=,formula,10,join,2,3067.371,265.55,2529
<=,formula,10,join,3,3058.441,254.43,2529
<=,formula,11,having,1,567.511,3.169,2529
<=,formula,11,having,2,538.353,1.543,2529
<=,formula,11,having,3,535.504,1.667,2529
<=,formula,11,join,1,3078.448,746.905,2529
<=,formula,11,join,2,3041.564,740.714,2529
<=,formula,11,join,3,3044.011,744.932,2529
<=,formula,12,having,1,553.728,2.549,2529
<=,formula,12,having,2,541.306,3.018,2529
<=,formula,12,having,3,538.336,1.603,2529
<=,formula,12,join,1,3035.603,2130.36,2529
<=,formula,12,join,2,3000.949,2132.799,2529
<=,formula,12,join,3,3009.02,2133.061,2529
<=,formula,13,having,1,536.59,1.561,2529
<=,formula,13,having,2,533.709,1.494,2529
<=,formula,13,having,3,555.448,1.674,2529
<=,formula,13,join,1,3031.519,6324.858,2529
<=,formula,13,join,2,3036.337,6348.854,2529
<=,formula,13,join,3,3032.002,6336.316,2529
<=,formula,14,having,1,550.802,1.914,2529
<=,formula,14,having,2,532.809,1.621,2529
<=,formula,14,having,3,529.943,1.498,2529
<=,formula,14,join,1,3020.17,19367.98,2529
<=,formula,14,join,2,3039.361,19404.924,2529
<=,formula,14,join,3,3092.368,19532.936,2529
<=,formula,15,having,1,559.545,10.609,2529
<=,formula,15,having,2,607.736,2.325,2529
<=,formula,15,having,3,606.146,2.182,2529
<=,formula,15,join,1,3029.692,61597.03,2529
<=,formula,15,join,2,3039.478,62264.796,2529
<=,formula,15,join,3,3071.503,60912.702,2529
>=,prob,0,having,1,461.757,2.585,2529
>=,prob,0,having,2,456.316,1.554,2529
>=,prob,0,having,3,445.627,1.847,2529
>=,prob,0,having_NS,1,416.537,1.899,2529
>=,prob,0,having_NS,2,427.428,2.743,2529
>=,prob,0,having_NS,3,433.031,2.501,2529
>=,prob,0,join,1,180.755,2.773,2529
>=,prob,0,join,2,183.891,1.023,2529
>=,prob,0,join,3,180.163,1.235,2529
>=,prob,1,having,1,449.032,4.89,2529
>=,prob,1,having,2,421.957,1.774,2529
>=,prob,1,having,3,428.274,2.62,2529
>=,prob,1,having_NS,1,488.533,1.581,2529
>=,prob,1,having_NS,2,463.691,2.593,2529
>=,prob,1,having_NS,3,460.415,1.802,2529
>=,prob,1,join,1,172.698,1.11,2529
>=,prob,1,join,2,178.642,1.927,2529
>=,prob,1,join,3,187.047,1.348,2529
>=,prob,2,having,1,242.244,1.51,191
>=,prob,2,having,2,221.787,2.508,191
>=,prob,2,having,3,225.848,1.679,191
>=,prob,2,having_NS,1,269.143,3.884,191
>=,prob,2,having_NS,2,291.189,2.962,191
>=,prob,2,having_NS,3,261.379,2.676,191
>=,prob,2,join,1,64.505,1.724,191
>=,prob,2,join,2,64.577,1.3,191
>=,prob,2,join,3,71.823,1.383,191
>=,prob,3,having,1,210.646,4.81,46
>=,prob,3,having,2,212.423,2.552,46
>=,prob,3,having,3,201.873,1.549,46
>=,prob,3,having_NS,1,240.401,2.272,46
>=,prob,3,having_NS,2,241.172,3.704,46
>=,prob,3,having_NS,3,239.158,5.155,46
>=,prob,3,join,1,159.664,1.907,46
>=,prob,3,join,2,137.776,1.8,46
>=,prob,3,join,3,141.18,4.653,46
>=,prob,4,having,1,201.933,1.512,21
>=,prob,4,having,2,207.943,3.533,21
>=,prob,4,having,3,202.534,1.474,21
>=,prob,4,having_NS,1,234.291,2.538,21
>=,prob,4,having_NS,2,233.525,2.621,21
>=,prob,4,having_NS,3,244.29,2.057,21
>=,prob,4,join,1,384.108,1.31,21
>=,prob,4,join,2,389.769,3.276,21
>=,prob,4,join,3,381.593,2.218,21
>=,prob,5,having,1,219.359,3.221,14
>=,prob,5,having,2,204.632,2.654,14
>=,prob,5,having,3,199.518,1.491,14
>=,prob,5,having_NS,1,229.895,2.46,14
>=,prob,5,having_NS,2,227.328,2.418,14
>=,prob,5,having_NS,3,228.735,1.94,14
>=,prob,5,join,1,766.599,3.868,14
>=,prob,5,join,2,764.724,2.236,14
>=,prob,5,join,3,755.118,2.629,14
>=,prob,6,having,1,206.896,2.346,12
>=,prob,6,having,2,205.437,2.208,12
>=,prob,6,having,3,209.927,2.896,12
>=,prob,6,having_NS,1,229.014,3.094,12
>=,prob,6,having_NS,2,229.126,2.753,12
>=,prob,6,having_NS,3,232.579,1.779,12
>=,prob,6,join,1,2921.696,3.799,12
>=,prob,6,join,2,2899.42,4.219,12
>=,prob,6,join,3,2907.08,8.318,12
>=,prob,7,having,1,207.383,3.261,10
>=,prob,7,having,2,208.494,2.474,10
>=,prob,7,having,3,218.776,2.265,10
>=,prob,7,having_NS,1,248.009,3.182,10
>=,prob,7,having_NS,2,215.631,2.681,10
>=,prob,7,having_NS,3,243.419,1.476,10
>=,prob,7,join,1,3676.949,9.253,10
>=,prob,7,join,2,3644.567,5.112,10
>=,prob,7,join,3,3686.067,10.939,10
>=,prob,8,having,1,203.638,2.709,8
>=,prob,8,having,2,198.697,2.719,8
>=,prob,8,having,3,200.75,1.706,8
>=,prob,8,having_NS,1,211.1,1.617,8
>=,prob,8,having_NS,2,219.007,3.913,8
>=,prob,8,having_NS,3,211.978,2.3,8
>=,prob,8,join,1,2411.245,15.818,8
>=,prob,8,join,2,2416.708,12.229,8
>=,prob,8,join,3,2451.402,20.082,8
>=,prob,9,having,1,222.732,2.678,5
>=,prob,9,having,2,226.2,1.999,5
>=,prob,9,having,3,218.149,3.017,5
>=,prob,9,having_NS,1,232.674,2.79,5
>=,prob,9,having_NS,2,235.55,1.497,5
>=,prob,9,having_NS,3,238.654,1.484,5
>=,prob,9,join,1,2600.232,30.859,5
>=,prob,9,join,2,2606.719,28.177,5
>=,prob,9,join,3,2641.673,33.49,5
>=,prob,10,having,1,229.157,1.458,5
>=,prob,10,having,2,222.851,2.686,5
>=,prob,10,having,3,229.228,3.311,5
>=,prob,10,having_NS,1,202.395,2.936,5
>=,prob,10,having_NS,2,211.551,2.972,5
>=,prob,10,having_NS,3,206.567,4.315,5
>=,prob,10,join,1,2534.121,65.281,5
>=,prob,10,join,2,2535.865,72.097,5
>=,prob,10,join,3,2544.654,65.264,5
>=,prob,11,having,1,230.22,3.974,5
>=,prob,11,having,2,213.138,5.135,5
>=,prob,11,having,3,205.683,2.835,5
>=,prob,11,having_NS,1,211.852,3.78,5
>=,prob,11,having_NS,2,210.434,2.658,5
>=,prob,11,having_NS,3,232.055,2.762,5
>=,prob,11,join,1,2803.14,199.056,5
>=,prob,11,join,2,2784.311,186.102,5
>=,prob,11,join,3,2789.825,186.152,5
>=,prob,12,having,1,224.347,2.263,3
>=,prob,12,having,2,207.156,3.611,3
>=,prob,12,having,3,206.955,3.219,3
>=,prob,12,having_NS,1,207.444,2.728,3
>=,prob,12,having_NS,2,202.9,1.493,3
>=,prob,12,having_NS,3,206.562,2.968,3
>=,prob,12,join,1,2899.893,528.914,3
>=,prob,12,join,2,2909.312,529.195,3
>=,prob,12,join,3,2903.628,523.089,3
