op,semi,k,side,n_reps,mean_ms,std_ms,min_ms,max_ms,mean_plan_ms,std_plan_ms,mean_total_ms,std_total_ms,rows
<=,formula,0,having,3,225.327,11.153,215.418,237.405,2.061,0.311,227.388,10.846,0
<=,formula,0,join,3,357.512,3.929,354.882,362.029,2.905,0.743,360.417,3.459,0
<=,formula,1,having,3,435.012,10.323,425.784,446.161,3.309,0.530,438.321,10.406,2529
<=,formula,1,join,3,241.510,11.829,228.055,250.270,2.917,1.691,244.427,13.267,2529
<=,formula,2,having,3,439.060,8.465,429.580,445.861,2.482,1.001,441.542,8.348,2529
<=,formula,2,join,3,280.314,6.976,275.278,288.277,3.049,0.803,283.363,6.278,2529
<=,formula,3,having,3,460.955,26.881,443.858,491.939,4.622,1.606,465.576,28.042,2529
<=,formula,3,join,3,506.240,4.305,502.915,511.103,3.619,2.145,509.859,3.380,2529
<=,formula,4,having,3,495.858,26.473,466.104,516.804,2.072,0.963,497.930,27.135,2529
<=,formula,4,join,3,707.479,12.896,699.415,722.353,4.300,0.539,711.779,12.676,2529
<=,formula,5,having,3,485.418,20.384,464.598,505.336,3.304,1.317,488.722,19.305,2529
<=,formula,5,join,3,1297.447,3.535,1294.138,1301.171,7.841,2.313,1305.288,2.727,2529
<=,formula,6,having,3,496.721,14.797,486.540,513.695,1.831,0.509,498.552,15.300,2529
<=,formula,6,join,3,1731.013,11.736,1718.332,1741.491,11.390,2.305,1742.402,13.781,2529
<=,formula,7,having,3,520.651,13.520,508.885,535.420,1.639,0.113,522.291,13.419,2529
<=,formula,7,join,3,2309.265,3.996,2304.713,2312.192,17.634,1.800,2326.899,3.519,2529
<=,formula,8,having,3,522.890,5.470,519.662,529.206,2.120,0.143,525.010,5.568,2529
<=,formula,8,join,3,2774.208,12.641,2760.746,2785.826,44.028,6.283,2818.236,15.092,2529
<=,formula,9,having,3,545.887,18.300,529.346,565.546,3.063,2.358,548.950,18.050,2529
<=,formula,9,join,3,2934.167,11.083,2923.581,2945.687,100.940,5.516,3035.107,15.404,2529
<=,formula,10,having,3,536.243,5.158,530.328,539.799,2.134,0.441,538.377,4.718,2529
<=,formula,10,join,3,3065.931,6.884,3058.441,3071.981,260.264,5.580,3326.195,11.539,2529
<=,formula,11,having,3,547.123,17.714,535.504,567.511,2.126,0.905,549.249,18.610,2529
<=,formula,11,join,3,3054.674,20.625,3041.564,3078.448,744.184,3.163,3798.858,23.186,2529
<=,formula,12,having,3,544.457,8.165,538.336,553.728,2.390,0.721,546.847,8.456,2529
<=,formula,12,join,3,3015.191,18.132,3000.949,3035.603,2132.073,1.490,5147.264,16.721,2529
<=,formula,13,having,3,541.916,11.808,533.709,555.448,1.576,0.091,543.492,11.896,2529
<=,formula,13,join,3,3033.286,2.653,3031.519,3036.337,6336.676,12.002,9369.962,14.477,2529
<=,formula,14,having,3,537.851,11.307,529.943,550.802,1.678,0.214,539.529,11.518,2529
<=,formula,14,join,3,3050.633,37.396,3020.170,3092.368,19435.280,86.566,22485.913,123.936,2529
<=,formula,15,having,3,591.142,27.376,559.545,607.736,5.039,4.825,596.181,22.557,2529
<=,formula,15,join,3,3046.891,21.869,3029.692,3071.503,61591.509,676.064,64638.400,660.112,2529
<=,prob,0,having,3,232.587,27.655,206.006,261.204,2.218,0.519,234.806,28.034,0
<=,prob,0,having_NS,3,226.861,16.315,210.426,243.053,3.089,1.018,229.950,15.680,0
<=,prob,0,join,3,356.397,5.432,350.473,361.144,1.782,0.604,358.179,5.926,0
<=,prob,1,having,3,433.939,15.251,417.457,447.551,3.309,1.357,437.248,15.932,2529
<=,prob,1,having_NS,3,438.811,21.674,417.379,460.719,2.759,0.056,441.570,21.624,2529
<=,prob,1,join,3,260.475,9.138,250.346,268.099,2.243,0.737,262.718,9.778,2529
<=,prob,2,having,3,428.038,7.627,419.885,434.999,2.786,0.736,430.824,7.911,2529
<=,prob,2,having_NS,3,424.432,6.605,417.383,430.479,2.278,0.613,426.710,6.519,2529
<=,prob,2,join,3,325.859,4.947,322.397,331.525,3.740,0.513,329.599,4.847,2529
<=,prob,3,having,3,429.300,13.137,420.599,444.411,2.592,1.588,431.892,12.706,2529
<=,prob,3,having_NS,3,441.091,19.305,426.181,462.897,3.939,0.793,445.030,19.472,2529
<=,prob,3,join,3,605.058,1.833,603.177,606.839,3.082,0.346,608.140,1.589,2529
<=,prob,4,having,3,450.477,20.793,426.468,462.632,2.972,0.871,453.448,20.764,2529
<=,prob,4,having_NS,3,455.780,24.741,433.209,482.232,3.047,1.458,458.827,26.016,2529
<=,prob,4,join,3,991.639,6.708,986.221,999.142,5.376,1.581,997.016,5.412,2529
